-0.201,-1.071,1.384,-248.596,-76.477,-76.599
-0.296,-0.884,1.263,-256.287,-142.456,-103.943
-0.422,-1.190,0.372,-336.426,-217.041,-122.070
-3.984,4.000,4.000,-355.713,-167.603,-160.461
-2.471,-0.105,4.000,949.219,560.425,-331.421
2.286,-2.455,3.936,994.873,943.542,-142.944
4.000,-2.662,2.316,535.217,654.907,-10.437
2.415,-1.829,1.551,253.784,176.636,-59.631
0.639,-1.164,0.821,13.794,-155.884,-75.378
0.330,-0.799,0.609,-111.938,-206.055,-70.557
0.112,-0.483,0.353,-164.856,-174.805,-79.407
0.069,-0.215,0.377,-171.875,-90.332,-84.167
0.140,0.043,0.415,-147.888,-10.315,-61.707
0.201,0.224,0.411,-106.628,17.883,-20.264
0.208,0.307,0.398,-51.331,3.601,18.372
0.183,0.276,0.388,17.395,-7.080,36.987
0.163,0.160,0.439,87.158,0.427,33.264
0.131,-0.105,0.615,135.132,20.325,28.015
0.151,-0.394,0.772,149.658,58.777,30.579
0.535,-0.657,0.935,134.216,106.140,41.809
1.016,-0.989,1.302,96.741,106.689,52.551
1.037,-1.086,1.605,42.542,36.621,40.161
0.672,-0.892,1.439,2.747,-25.452,6.958
0.336,-0.578,1.118,-12.268,-32.043,-17.456
0.258,-0.366,0.922,-22.888,-6.470,-17.090
0.256,-0.218,0.795,-40.222,11.536,-6.042
0.262,-0.092,0.722,-56.824,18.250,5.798
0.259,-0.004,0.697,-59.082,15.381,13.977
0.220,0.051,0.692,-42.664,3.784,13.306
0.191,0.072,0.715,-14.099,-8.118,5.676
0.202,0.047,0.780,15.320,-15.320,-2.930
0.222,-0.023,0.868,37.170,-15.198,-8.057
0.284,-0.144,0.967,47.424,-7.446,-8.423
0.368,-0.273,1.043,46.875,1.648,-7.019
0.427,-0.371,1.078,38.879,7.324,-5.432
0.432,-0.416,1.059,25.269,7.568,-3.723
0.333,-0.394,0.974,7.263,4.211,-1.465
0.282,-0.330,0.883,-10.620,4.578,2.136
0.269,-0.241,0.817,-24.536,5.920,5.798
0.266,-0.157,0.783,-29.785,5.737,7.507
0.264,-0.091,0.785,-24.048,4.150,5.310
0.277,-0.070,0.806,-8.423,0.732,1.282
0.289,-0.109,0.837,10.498,-2.625,-1.587
0.291,-0.190,0.873,24.719,-4.578,-3.357
0.287,-0.280,0.914,30.518,-5.432,-4.089
0.292,-0.344,0.947,26.611,-4.944,-3.235
0.295,-0.373,0.964,15.381,-4.028,-0.549
0.293,-0.372,0.960,2.502,-2.747,2.258
0.292,-0.332,0.941,-6.958,-0.549,3.174
0.290,-0.274,0.917,-9.949,1.770,3.418
0.285,-0.223,0.897,-8.667,3.235,3.662
0.282,-0.192,0.879,-5.676,3.296,3.540
0.278,-0.178,0.873,-1.709,2.686,2.869
0.282,-0.177,0.878,2.502,1.587,1.953
0.285,-0.193,0.892,6.409,-0.122,0.977
0.283,-0.218,0.904,10.010,-1.709,-0.366
0.283,-0.241,0.908,12.390,-2.075,-1.160
0.291,-0.256,0.913,12.024,-1.404,-1.099
0.299,-0.263,0.915,9.277,-0.183,-0.305
0.302,-0.261,0.908,6.165,0.916,0.671
0.301,-0.252,0.898,3.540,1.892,1.343
0.293,-0.237,0.886,1.404,2.075,1.526
0.284,-0.225,0.872,1.282,1.892,1.709
0.283,-0.219,0.861,2.075,1.953,1.526
0.283,-0.220,0.857,4.395,1.892,1.160
0.282,-0.229,0.862,6.409,1.282,1.038
0.284,-0.241,0.869,6.897,0.732,1.160
0.290,-0.250,0.879,6.287,0.183,1.526
0.295,-0.253,0.894,4.456,0.488,2.075
0.304,-0.244,0.920,1.892,0.610,1.831
0.309,-0.234,0.930,2.136,0.427,0.671
0.310,-0.231,0.927,2.380,0.854,-0.366
0.300,-0.235,0.919,1.831,2.319,-0.305
0.287,-0.231,0.901,1.709,4.272,-0.244
0.287,-0.245,0.897,5.920,5.859,-1.465
0.286,-0.268,0.895,10.620,4.944,-3.235
0.280,-0.282,0.885,12.146,2.258,-4.395
0.270,-0.279,0.868,11.108,0.000,-4.944
0.260,-0.264,0.859,9.521,-0.305,-5.615
0.257,-0.250,0.865,8.972,0.732,-6.958
0.265,-0.236,0.876,9.644,2.625,-8.240
0.287,-0.223,0.892,9.583,4.822,-9.216
0.316,-0.217,0.909,9.094,6.653,-8.484
0.335,-0.227,0.928,7.507,7.263,-7.568
0.346,-0.236,0.937,6.165,6.958,-6.531
0.346,-0.242,0.933,4.883,6.165,-5.676
0.331,-0.243,0.921,4.822,4.517,-4.639
0.307,-0.242,0.903,4.761,2.502,-3.296
0.292,-0.247,0.888,4.333,1.648,-2.380
0.288,-0.242,0.877,2.808,1.465,-2.075
0.280,-0.232,0.872,1.770,1.404,-1.831
0.280,-0.232,0.877,1.160,1.892,-1.953
0.287,-0.229,0.884,2.014,2.930,-2.502
0.296,-0.227,0.888,3.296,3.723,-2.197
0.311,-0.234,0.891,4.883,4.089,-1.831
0.329,-0.239,0.891,5.676,3.906,-1.343
0.336,-0.243,0.890,5.859,2.991,-0.244
0.322,-0.257,0.887,5.676,1.892,1.038
0.307,-0.268,0.886,5.371,1.404,1.648
0.303,-0.265,0.884,4.272,1.404,1.892
0.303,-0.258,0.885,3.845,1.221,2.258
0.298,-0.256,0.886,3.784,0.854,2.197
0.298,-0.255,0.892,3.601,0.427,1.709
0.297,-0.256,0.898,4.150,-0.244,0.793
0.299,-0.250,0.894,5.066,-0.244,0.000
0.301,-0.242,0.895,4.578,0.183,0.488
0.304,-0.243,0.897,5.005,0.610,0.488
0.303,-0.240,0.896,5.615,0.854,0.366
0.305,-0.250,0.893,6.775,1.221,0.427
0.312,-0.262,0.889,7.751,1.404,0.244
0.311,-0.261,0.884,7.568,1.221,0.732
0.309,-0.258,0.882,6.897,0.977,1.160
0.307,-0.257,0.883,5.493,1.038,1.404
0.306,-0.254,0.887,4.395,1.282,1.526
0.305,-0.248,0.889,4.089,1.221,1.404
0.301,-0.243,0.890,3.845,0.977,1.221
0.301,-0.244,0.891,4.517,1.038,1.343
0.301,-0.246,0.891,5.188,1.099,1.160
0.303,-0.250,0.894,5.981,1.038,0.671

4.000,-3.804,0.429,-912.476,-1194.824,-174.133
-0.240,0.868,-0.391,-1355.591,-1515.686,-37.964
-4.000,4.000,4.000,-1102.539,-1624.573,211.487
-4.000,3.972,4.000,-203.064,-886.536,154.785
-4.000,1.327,1.950,285.950,-274.902,-112.427
-2.698,0.250,0.509,214.050,-82.825,-138.611
-1.482,0.073,0.058,15.930,-15.381,-71.167
-0.925,0.174,-0.026,-140.015,-17.700,8.118
-0.593,0.295,-0.025,-207.520,-1.587,65.186
-0.380,0.331,-0.007,-199.280,46.326,85.938
-0.221,0.273,0.026,-147.034,111.206,78.979
-0.133,0.185,0.020,-77.087,167.480,61.462
-0.125,0.153,-0.028,-16.113,207.703,44.006
-0.115,0.142,-0.047,23.437,237.000,48.218
0.161,0.557,0.346,52.795,251.953,73.975
0.746,0.650,1.301,129.395,226.257,99.060
0.769,0.012,1.505,256.836,116.211,83.923
0.724,-0.445,1.229,292.236,-19.775,50.537
0.453,-0.810,1.033,212.158,-107.239,26.733
0.156,-0.706,0.858,89.600,-157.166,-29.724
-0.028,-0.437,0.724,-34.424,-185.669,-76.904
-0.213,-0.134,0.628,-123.535,-200.989,-102.905
-0.449,0.223,0.706,-166.687,-205.872,-106.934
-0.816,0.629,1.062,-148.865,-196.838,-82.336
-1.047,0.746,1.276,-51.636,-154.907,-32.898
-1.028,0.553,1.184,73.120,-85.327,17.456
-0.941,0.182,0.969,141.235,-25.269,39.856
-0.743,-0.189,0.914,121.826,5.554,33.203
-0.535,-0.423,0.916,64.331,27.039,15.320
-0.337,-0.459,0.907,9.460,38.635,1.160
-0.264,-0.304,0.876,-29.785,36.743,-8.911
-0.297,-0.048,0.823,-60.547,26.245,-10.315
-0.365,0.183,0.827,-73.792,14.099,-8.240
-0.433,0.351,0.826,-63.782,3.052,-9.033
-0.470,0.414,0.792,-34.912,-2.014,-5.310
-0.468,0.377,0.779,-0.671,1.282,1.282
-0.405,0.259,0.813,28.870,5.310,6.592
-0.336,0.100,0.857,49.744,5.249,8.484
-0.315,-0.059,0.920,55.481,1.221,7.568
-0.366,-0.152,0.962,43.335,-4.700,4.822
-0.450,-0.146,0.949,20.081,-7.446,1.282
-0.500,-0.062,0.896,-3.662,-5.066,-1.221
-0.504,0.044,0.850,-20.447,-0.305,-2.380
-0.472,0.126,0.830,-25.696,5.005,-2.319
-0.424,0.175,0.827,-20.264,7.996,-1.709
-0.384,0.188,0.839,-9.277,7.141,-0.793
-0.370,0.165,0.857,3.052,3.723,0.000
-0.387,0.118,0.874,12.756,-0.122,0.732
-0.416,0.069,0.885,17.029,-2.563,1.038
-0.446,0.036,0.890,15.320,-2.930,1.160
-0.461,0.027,0.887,10.010,-1.648,1.221
-0.460,0.043,0.878,3.662,0.793,1.099
-0.447,0.068,0.867,-1.099,2.747,0.793
-0.432,0.088,0.857,-2.258,3.540,0.671
-0.421,0.096,0.852,-0.854,3.540,0.305
-0.416,0.091,0.852,1.587,3.052,0.427
-0.416,0.084,0.858,3.662,2.441,0.549
-0.417,0.079,0.865,4.578,2.197,1.099
-0.418,0.079,0.873,4.211,1.709,1.465
-0.421,0.080,0.879,3.601,1.404,1.648
-0.424,0.081,0.879,2.930,0.671,1.648
-0.427,0.079,0.877,3.052,0.305,1.343
-0.430,0.076,0.871,3.052,0.427,1.221
-0.430,0.075,0.866,3.052,0.916,0.916
-0.428,0.078,0.865,2.563,1.465,0.916
-0.421,0.083,0.868,2.197,2.258,1.160
-0.417,0.088,0.871,2.075,2.625,1.282
-0.415,0.089,0.876,2.625,2.502,1.526
-0.414,0.085,0.879,3.296,2.075,1.770
-0.414,0.080,0.879,4.639,1.526,1.953
-0.413,0.074,0.876,5.005,0.977,1.709
-0.412,0.069,0.873,4.639,0.977,1.587
-0.411,0.066,0.869,4.089,0.977,1.526
-0.414,0.067,0.868,3.479,1.038,1.221
-0.414,0.071,0.872,2.258,1.099,0.854
-0.416,0.076,0.874,2.258,1.099,0.916
-0.416,0.079,0.877,2.197,1.099,0.671
-0.416,0.082,0.876,2.441,0.977,0.793
-0.416,0.083,0.874,2.502,0.977,0.793
-0.416,0.083,0.872,2.502,1.099,0.854
-0.418,0.084,0.872,3.052,1.282,0.977
-0.418,0.083,0.875,3.723,1.160,1.038
-0.417,0.080,0.878,4.150,1.221,1.099
-0.415,0.076,0.878,4.395,1.343,0.977
-0.412,0.077,0.879,4.333,1.160,0.732
-0.408,0.077,0.876,3.845,1.099,0.549
-0.408,0.081,0.877,2.991,1.282,0.488
-0.407,0.085,0.876,2.869,1.221,0.671
-0.410,0.088,0.876,2.869,0.610,0.732
-0.415,0.089,0.877,3.540,0.122,0.916
-0.417,0.085,0.876,4.395,-0.183,1.038
-0.420,0.078,0.874,4.944,-0.244,0.977
-0.420,0.075,0.873,4.578,-0.244,0.610
-0.421,0.075,0.871,3.967,0.305,0.549
-0.420,0.079,0.871,3.174,0.671,0.305
-0.417,0.084,0.871,3.113,0.916,0.244
-0.414,0.086,0.873,3.357,1.038,0.549
-0.414,0.085,0.874,3.967,1.160,0.427
-0.417,0.082,0.874,4.333,0.854,0.549
-0.417,0.079,0.872,4.761,0.977,0.732
-0.418,0.078,0.872,4.150,1.099,0.793
-0.417,0.080,0.874,3.967,1.160,0.671
-0.417,0.081,0.873,3.540,1.038,0.732
-0.415,0.081,0.875,3.601,0.916,0.732
-0.416,0.081,0.875,3.601,0.671,0.671
-0.415,0.078,0.875,4.211,0.366,0.793
-0.417,0.079,0.873,3.906,0.488,0.610
-0.418,0.080,0.870,3.601,0.671,0.610
-0.419,0.080,0.869,3.296,0.732,0.671
