-0.256,0.820,0.975,-20.081,-60.059,2.441
-0.271,0.845,0.950,-22.461,-46.875,0.122
-0.292,0.844,0.930,-19.897,-35.156,-2.197
-0.315,0.816,0.918,-13.733,-26.855,-4.211
-0.318,0.788,0.931,-7.141,-20.752,-6.287
-0.302,0.752,0.958,-2.197,-15.869,-8.179
-0.298,0.724,0.990,0.366,-10.681,-10.193
-0.304,0.695,1.012,2.625,-6.042,-10.986
-0.316,0.665,1.031,5.432,-1.648,-10.498
-0.327,0.647,1.047,7.019,4.517,-8.911
-0.346,0.644,1.066,8.240,12.817,-6.042
-0.389,0.650,1.063,8.667,21.973,-3.174
-0.437,0.661,1.039,8.118,32.227,-0.061
-0.465,0.677,1.013,6.226,43.579,4.089
-0.469,0.683,1.002,4.822,54.688,7.263
-0.473,0.690,0.988,4.517,64.514,8.240
-0.449,0.735,0.961,5.249,71.838,7.263
-0.416,0.763,0.940,8.362,78.735,5.371
-0.397,0.758,0.933,13.306,84.839,2.686
-0.390,0.735,0.944,17.456,89.355,-0.549
-0.406,0.708,0.966,20.325,92.529,-2.991
-0.424,0.679,0.994,22.400,96.130,-4.822
-0.424,0.660,1.026,24.292,101.563,-5.127
-0.430,0.664,1.062,25.330,108.826,-4.578
-0.427,0.684,1.091,26.306,117.798,-2.380
-0.405,0.679,1.090,28.442,128.235,1.892
-0.369,0.652,1.065,28.931,141.663,8.362
-0.339,0.636,1.034,25.452,156.738,14.893
-0.319,0.626,1.013,18.860,171.448,20.813
-0.329,0.599,0.984,12.146,184.265,24.048
-0.330,0.621,0.922,5.859,194.580,20.874
-0.321,0.662,0.859,4.395,204.956,13.977
-0.289,0.677,0.799,8.545,215.454,7.385
-0.245,0.674,0.750,16.174,225.464,-0.244
-0.224,0.667,0.715,25.635,235.046,-8.179
-0.209,0.669,0.673,35.278,244.812,-13.672
-0.207,0.716,0.630,42.847,254.272,-15.320
-0.188,0.738,0.599,48.706,263.123,-12.451
-0.125,0.696,0.568,51.147,270.874,-4.883
-0.054,0.655,0.547,48.218,277.893,4.700
0.003,0.654,0.524,40.710,283.081,16.418
0.092,0.656,0.524,32.043,286.011,26.550
0.001,0.709,0.456,24.475,286.438,32.715
0.070,0.668,0.455,20.325,294.861,38.391
0.178,0.678,0.410,11.841,294.800,37.170
0.242,0.699,0.393,3.784,289.856,31.738
0.276,0.702,0.389,-0.977,286.194,21.973
0.272,0.688,0.351,-1.343,282.227,7.202
0.229,0.686,0.305,0.854,280.945,-5.127
0.187,0.674,0.239,2.563,283.020,-11.169
0.172,0.634,0.156,2.380,288.208,-12.024
0.179,0.601,0.085,-1.770,294.434,-11.230
0.192,0.590,0.028,-9.399,299.561,-9.460
0.229,0.571,-0.010,-16.052,302.063,-6.470
0.277,0.552,-0.024,-20.020,301.575,-3.845
0.349,0.561,-0.007,-20.630,298.096,-2.380
0.416,0.570,-0.002,-16.602,292.419,-1.343
0.447,0.574,-0.027,-12.512,286.072,-0.183
0.445,0.572,-0.066,-10.864,280.640,0.549
0.420,0.563,-0.109,-11.108,276.428,-0.061
0.403,0.569,-0.145,-13.428,272.522,-1.160
0.406,0.577,-0.166,-15.808,268.982,-1.282
0.424,0.594,-0.183,-18.066,264.709,-0.122
0.454,0.607,-0.199,-19.348,260.315,1.160
0.477,0.615,-0.229,-21.057,255.676,1.648
0.488,0.615,-0.257,-22.827,251.587,0.671
0.494,0.606,-0.269,-26.123,247.437,-1.221
0.496,0.594,-0.258,-30.029,243.469,-2.563
0.491,0.581,-0.248,-33.569,240.540,-2.258
0.457,0.577,-0.252,-35.828,239.807,0.427
0.410,0.585,-0.265,-35.461,241.272,4.089
0.383,0.591,-0.280,-32.410,244.019,7.996
0.362,0.592,-0.318,-28.442,246.826,10.010
0.344,0.590,-0.370,-23.926,250.671,7.996
0.277,0.590,-0.477,-18.494,253.906,2.380
0.280,0.606,-0.592,-15.076,255.615,-3.052
0.316,0.621,-0.591,-13.794,252.747,-6.836
0.375,0.603,-0.572,-9.705,244.019,-8.667
0.410,0.597,-0.596,-7.446,233.459,-7.690
0.422,0.586,-0.610,-7.080,222.595,-5.432
0.383,0.579,-0.596,-9.033,212.341,-4.150
0.317,0.570,-0.595,-10.193,205.017,-3.174
0.269,0.574,-0.610,-10.864,202.148,-2.075
0.240,0.591,-0.616,-8.850,201.843,0.061
0.222,0.615,-0.631,-6.042,202.515,0.488
0.193,0.611,-0.662,-2.319,203.430,-2.625
0.154,0.591,-0.711,2.563,205.383,-8.545
0.123,0.566,-0.760,6.897,206.848,-14.404
0.099,0.541,-0.806,9.827,207.764,-18.005
0.084,0.534,-0.836,12.695,207.458,-17.883
0.085,0.562,-0.841,14.954,204.224,-15.137
0.087,0.574,-0.847,17.883,198.486,-12.268
0.071,0.593,-0.849,21.912,192.871,-11.047
0.045,0.607,-0.874,24.902,188.232,-11.108
0.006,0.608,-0.921,26.672,185.181,-13.000
-0.028,0.609,-0.967,27.893,183.167,-15.808
-0.046,0.626,-0.998,27.832,179.687,-16.968
-0.042,0.660,-1.017,26.489,174.194,-16.785
-0.030,0.680,-1.037,24.902,166.443,-16.968
-0.044,0.676,-1.057,24.719,158.569,-18.616
-0.074,0.661,-1.082,24.597,150.818,-20.081
-0.109,0.660,-1.109,24.719,142.578,-20.874
-0.131,0.667,-1.136,24.719,132.751,-22.583
-0.133,0.662,-1.136,26.367,122.192,-24.902
-0.112,0.665,-1.112,27.527,109.619,-26.611
-0.084,0.674,-1.082,25.452,95.520,-25.818
-0.077,0.668,-1.052,20.813,85.022,-23.010
-0.095,0.660,-1.035,16.174,78.369,-19.714
-0.126,0.657,-1.032,11.658,74.341,-17.517
-0.146,0.660,-1.035,8.606,71.899,-17.151
-0.154,0.680,-1.038,7.690,69.275,-18.250
-0.146,0.675,-1.040,8.606,66.101,-19.531
-0.136,0.648,-1.055,8.789,62.622,-20.874
-0.135,0.604,-1.062,7.690,59.387,-21.057
-0.145,0.599,-1.081,4.700,54.199,-20.691
-0.158,0.585,-1.082,1.648,48.035,-17.883
-0.171,0.576,-1.082,-2.014,44.067,-15.015
-0.171,0.573,-1.085,-5.310,40.771,-15.198
-0.164,0.572,-1.084,-7.935,35.278,-15.747

0.522,0.571,0.965,36.621,-189.941,-31.982
0.501,0.502,1.021,43.274,-190.002,-33.875
0.473,0.447,1.035,42.847,-179.138,-32.837
0.434,0.437,0.995,34.180,-164.185,-28.259
0.396,0.451,0.926,23.437,-145.325,-22.339
0.370,0.489,0.848,13.306,-127.502,-18.066
0.373,0.508,0.773,6.714,-113.647,-16.602
0.369,0.555,0.740,3.479,-105.042,-16.846
0.407,0.662,0.772,6.592,-103.455,-18.250
0.462,0.685,0.831,21.240,-105.713,-21.484
0.499,0.617,0.903,39.856,-108.276,-27.527
0.514,0.532,0.972,53.284,-111.206,-34.180
0.511,0.471,1.000,60.486,-112.366,-39.124
0.487,0.434,0.993,59.998,-110.046,-40.161
0.457,0.405,0.959,53.101,-104.187,-37.537
0.424,0.390,0.939,40.955,-96.313,-33.386
0.400,0.404,0.915,26.550,-88.257,-27.893
0.395,0.800,1.108,15.503,-80.505,-22.217
0.378,0.862,1.286,37.170,-69.336,-22.583
0.398,0.330,1.053,79.041,-48.889,-37.231
0.486,-0.002,0.860,67.749,-26.306,-45.471
0.560,0.080,0.884,16.174,-12.390,-34.058
0.550,0.260,0.928,-25.452,-12.024,-16.602
0.503,0.328,0.927,-39.429,-17.517,-5.310
0.462,0.334,0.912,-37.842,-20.874,-0.427
0.433,0.327,0.902,-32.532,-22.034,3.418
0.430,0.343,0.917,-27.222,-20.386,6.592
0.449,0.374,0.939,-19.287,-17.273,7.080
0.470,0.378,0.952,-8.240,-13.367,4.639
0.479,0.353,0.954,3.418,-9.644,0.732
0.473,0.328,0.953,12.817,-6.165,-1.770
0.455,0.324,0.961,18.250,-2.258,-2.319
0.432,0.337,0.969,20.874,3.418,-0.977
0.407,0.343,0.963,22.888,10.498,3.540
0.385,0.345,0.956,24.231,18.799,9.460
0.374,0.355,0.947,24.170,27.588,14.160
0.378,0.371,0.934,24.658,36.072,17.334
0.380,0.389,0.919,24.536,43.945,19.531
0.386,0.412,0.905,24.475,49.622,21.362
0.398,0.432,0.893,25.696,53.101,22.766
0.420,0.450,0.898,27.954,54.810,23.621
0.446,0.459,0.926,31.189,55.298,23.621
0.463,0.449,0.944,35.339,55.603,22.766
0.463,0.432,0.948,38.696,57.312,21.729
0.442,0.421,0.942,39.673,60.791,21.423
